split,tensor_index,source_index,binary_label,attack_name,true_label,clean_prediction,adversarial_prediction,clean_correct,attack_success,linf,l2
train,0,37542,0,clean,6,6,6,True,False,0.0,0.0
train,1,44491,0,clean,2,2,2,True,False,0.0,0.0
train,2,216,0,clean,8,8,8,True,False,0.0,0.0
train,3,43688,0,clean,6,6,6,True,False,0.0,0.0
train,4,41558,0,clean,6,6,6,True,False,0.0,0.0
train,5,32245,0,clean,9,9,9,True,False,0.0,0.0
train,6,27206,0,clean,4,4,4,True,False,0.0,0.0
train,7,10863,0,clean,5,5,5,True,False,0.0,0.0
train,8,2190,0,clean,4,4,4,True,False,0.0,0.0
train,9,31849,0,clean,4,4,4,True,False,0.0,0.0
train,10,25408,0,clean,5,5,5,True,False,0.0,0.0
train,11,33504,0,clean,5,5,5,True,False,0.0,0.0
train,12,27102,0,clean,6,6,6,True,False,0.0,0.0
train,13,21934,0,clean,6,6,6,True,False,0.0,0.0
train,14,40181,0,clean,9,9,9,True,False,0.0,0.0
train,15,47682,0,clean,7,7,7,True,False,0.0,0.0
train,16,37542,1,cw,6,6,9,True,True,0.010005444288253784,0.36242154240608215
train,17,44491,1,pgd,2,2,4,True,True,0.03137257695198059,1.269898533821106
train,18,216,1,pgd,8,8,0,True,True,0.03137260675430298,1.356909155845642
train,19,43688,1,pgd,6,6,4,True,True,0.03137257695198059,1.3483412265777588
train,20,41558,1,cw,6,6,3,True,True,0.00499996542930603,0.23355334997177124
train,21,32245,1,pgd,9,9,1,True,True,0.03137260675430298,1.3705095052719116
train,22,27206,1,pgd,4,4,2,True,True,0.03137260675430298,1.4065322875976562
train,23,10863,1,pgd,5,5,3,True,True,0.03137260675430298,1.396452784538269
train,24,2190,1,cw,4,4,7,True,True,0.00499996542930603,0.22846250236034393
train,25,31849,1,fgsm,4,4,7,True,True,0.03137257695198059,1.7367767095565796
train,26,25408,1,cw,5,5,3,True,True,0.010004162788391113,0.37879836559295654
train,27,33504,1,pgd,5,5,6,True,True,0.03137257695198059,1.3270039558410645
train,28,27102,1,fgsm,6,6,3,True,True,0.03137257695198059,1.7388430833816528
train,29,21934,1,cw,6,6,3,True,True,0.00499996542930603,0.2612535357475281
train,30,40181,1,fgsm,9,9,1,True,True,0.03137260675430298,1.7329738140106201
train,31,47682,1,fgsm,7,7,5,True,True,0.03137257695198059,1.7385114431381226
train,32,45747,0,clean,7,7,7,True,False,0.0,0.0
train,33,17004,0,clean,8,8,8,True,False,0.0,0.0
train,34,43777,0,clean,0,0,0,True,False,0.0,0.0
train,35,7433,0,clean,8,8,8,True,False,0.0,0.0
train,36,45129,0,clean,5,5,5,True,False,0.0,0.0
train,37,37684,0,clean,2,2,2,True,False,0.0,0.0
train,38,14817,0,clean,3,3,3,True,False,0.0,0.0
train,39,38215,0,clean,3,3,3,True,False,0.0,0.0
train,40,30883,0,clean,7,7,7,True,False,0.0,0.0
train,41,19763,0,clean,6,6,6,True,False,0.0,0.0
train,42,14041,0,clean,4,4,4,True,False,0.0,0.0
train,43,46578,0,clean,4,4,4,True,False,0.0,0.0
train,44,19871,0,clean,3,3,3,True,False,0.0,0.0
train,45,39339,0,clean,2,2,2,True,False,0.0,0.0
train,46,39292,0,clean,4,4,4,True,False,0.0,0.0
train,47,8205,0,clean,5,5,5,True,False,0.0,0.0
train,48,45747,1,cw,7,7,2,True,True,0.04192167520523071,0.6018252968788147
train,49,17004,1,cw,8,8,0,True,True,0.01000550389289856,0.3393663167953491
train,50,43777,1,fgsm,0,0,8,True,True,0.03137260675430298,1.7386707067489624
train,51,7433,1,cw,8,8,3,True,True,0.015001744031906128,0.568884551525116
train,52,45129,1,fgsm,5,5,3,True,True,0.03137257695198059,1.7388430833816528
train,53,37684,1,cw,2,2,4,True,True,0.00499996542930603,0.16007618606090546
train,54,14817,1,fgsm,3,3,6,True,True,0.03137257695198059,1.7388430833816528
train,55,38215,1,cw,3,3,4,True,True,0.00499996542930603,0.26099538803100586
train,56,30883,1,pgd,7,7,5,True,True,0.03137260675430298,1.411001443862915
train,57,19763,1,pgd,6,6,3,True,True,0.03137260675430298,1.3842471837997437
train,58,14041,1,fgsm,4,4,9,True,True,0.03137257695198059,1.738630771636963
train,59,46578,1,cw,4,4,5,True,True,0.00499996542930603,0.2276550829410553
train,60,19871,1,pgd,3,3,8,True,True,0.03137260675430298,1.3015296459197998
train,61,39339,1,pgd,2,2,3,True,True,0.03137257695198059,1.4349578619003296
train,62,39292,1,cw,4,4,0,True,True,0.00499996542930603,0.25869297981262207
train,63,8205,1,pgd,5,5,2,True,True,0.03137260675430298,1.3139837980270386
train,64,47307,0,clean,9,9,9,True,False,0.0,0.0
train,65,15337,0,clean,9,9,9,True,False,0.0,0.0
train,66,45371,0,clean,8,8,8,True,False,0.0,0.0
train,67,20844,0,clean,1,1,1,True,False,0.0,0.0
train,68,26455,0,clean,3,3,3,True,False,0.0,0.0
train,69,25747,0,clean,6,6,6,True,False,0.0,0.0
train,70,21000,0,clean,0,0,0,True,False,0.0,0.0
train,71,49417,0,clean,9,9,9,True,False,0.0,0.0
train,72,42186,0,clean,6,6,6,True,False,0.0,0.0
train,73,49238,0,clean,9,9,9,True,False,0.0,0.0
train,74,25283,0,clean,7,7,7,True,False,0.0,0.0
train,75,78,0,clean,3,3,3,True,False,0.0,0.0
train,76,6899,0,clean,1,1,1,True,False,0.0,0.0
train,77,15568,0,clean,2,2,2,True,False,0.0,0.0
train,78,11143,0,clean,5,5,5,True,False,0.0,0.0
train,79,35952,0,clean,0,0,0,True,False,0.0,0.0
train,80,47307,1,pgd,9,9,1,True,True,0.03137260675430298,1.4303706884384155
train,81,15337,1,fgsm,9,9,8,True,True,0.03137260675430298,1.7281217575073242
train,82,45371,1,pgd,8,8,1,True,True,0.03137260675430298,1.383030891418457
train,83,20844,1,cw,1,1,9,True,True,0.010003387928009033,0.28872057795524597
train,84,26455,1,fgsm,3,3,4,True,True,0.03137257695198059,1.738776683807373
train,85,25747,1,fgsm,6,6,2,True,True,0.03137257695198059,1.7388430833816528
